CaseParID1	CaseParID2	lawIDs	CommonCitations
4	2941	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	2956	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	3153	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	3160	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	3168	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 2 IVG
4	3254	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	3268	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	3299	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	3517	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	3523	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	3557	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
4	3677	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	3679	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	3832	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG
4	3857	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	3953	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	4019	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4077	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4205	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	4214	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	4216	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4379	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4533	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	4535	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	4642	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 17 Abs. 1 ATSG
4	4698	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG
4	4719	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	4825	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 4 Abs. 1 IVG, Art. 28 Abs. 1 IVG, Art. 28 Abs. 2 IVG
4	5002	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
4	5016	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 1 Abs. 1 IVG, Art. 28 Abs. 2 IVG, Art. 17 Abs. 1 ATSG
